Week,Query,Page,Clicks,Impressions,CTR,Position,lang,Type,Cat1,Cat2,Cat3
1,électrolyseur alcalin,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/alcaline/,13,44,0.2954545454545454,1.0,fr,Dossier,Hydrogene,Production,
1,electrolyseur alcalin,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/alcaline/,9,19,0.4736842105263157,1.0,fr,Dossier,Hydrogene,Production,
1,électrolyseurs alcalins,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/alcaline/,7,28,0.25,1.9642857142857144,fr,Dossier,Hydrogene,Production,
1,thermolyse de la biomasse,https://www.discoverthegreentech.com/hydrogene/production/pyrogazeification-pyrolyse-thermolyse-biomasse/,5,7,0.7142857142857143,1.0,fr,Dossier,Hydrogene,Production,
1,électrolyse de l'eau,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/,5,369,0.013550135501355,9.086720867208673,fr,Dossier,Hydrogene,Production,
1,électrolyseur pem,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/electrolyse-pem/,5,24,0.2083333333333333,1.125,fr,Dossier,Hydrogene,Production,
1,electrolyse de l'eau,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/,4,246,0.016260162601626,8.682926829268293,fr,Dossier,Hydrogene,Production,
1,l'électrolyse,https://www.discoverthegreentech.com/definitions/electrolyse/,4,17,0.2352941176470588,17.352941176470587,fr,Definitions,,,
1,les hydrures métalliques,https://www.discoverthegreentech.com/hydrogene/stockage/hydrures-metalliques/,4,15,0.2666666666666666,1.0666666666666669,fr,Dossier,Hydrogene,Stockage,
1,électrolyse alcaline,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/alcaline/,4,15,0.2666666666666666,1.0,fr,Dossier,Hydrogene,Production,
1,biosourcing,https://www.discoverthegreentech.com/definitions/biosourcing/,3,17,0.1764705882352941,1.5294117647058822,fr,Definitions,,,
1,dirigeable hindenburg,https://www.discoverthegreentech.com/crash-hindenburg-1937/,3,957,0.0031347962382445,9.661442006269592,fr,Blog,,,
1,electrolyse alcaline,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/alcaline/,3,8,0.375,1.0,fr,Dossier,Hydrogene,Production,
1,electrolyse haute température,https://www.discoverthegreentech.com/electrolyse-haute-temperature-cea/,3,5,0.6,2.0,fr,Blog,Hydrogene,,
1,electrolyse pem,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/electrolyse-pem/,3,17,0.1764705882352941,2.0,fr,Dossier,Hydrogene,Production,
1,hydrogen power paste,https://www.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,32,0.09375,7.90625,fr,Entreprise,,,
1,hydrolyse de l'eau,https://www.discoverthegreentech.com/hydrogene/production/electrolyse/,3,128,0.0234375,6.515625,fr,Dossier,Hydrogene,Production,
1,hydrure métallique,https://www.discoverthegreentech.com/hydrogene/stockage/hydrures-metalliques/,3,51,0.0588235294117647,2.9607843137254903,fr,Dossier,Hydrogene,Stockage,
1,powerpaste,https://www.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,27,0.1111111111111111,6.037037037037037,fr,Entreprise,,,
1,powerpaste hydrogen,https://www.discoverthegreentech.com/powerpaste-pate-stocker-hydrogene/,3,11,0.2727272727272727,8.727272727272727,fr,Entreprise,,,
1,procédé haber bosch,https://www.discoverthegreentech.com/procede-haber-bosch-nourrir-la-terre/,3,89,0.0337078651685393,4.348314606741573,fr,Blog,,,
1,stockage de l'hydrogène dans les hydrures métalliques,https://www.discoverthegreentech.com/hydrogene/stockage/hydrures-metalliques/,3,9,0.3333333333333333,2.0,fr,Dossier,Hydrogene,Stockage,
1,thermolyse biomasse,https://www.discoverthegreentech.com/hydrogene/production/pyrogazeification-pyrolyse-thermolyse-biomasse/,3,7,0.4285714285714285,1.2857142857142856,fr,Dossier,Hydrogene,Production,
1,vaporeformage,https://www.discoverthegreentech.com/hydrogene/production/vaporeformage-methane/,3,128,0.0234375,5.546875,fr,Dossier,Hydrogene,Production,
1,biomimétisme,https://www.discoverthegreentech.com/definitions/biomimetisme/,2,617,0.0032414910858995,10.021069692058347,fr,Definitions,,,
